0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,0,1,1,0,0,0.0,-0.6151273942437077,53
1,0,1,1,1,0,0.0,-0.6151273942437077,82
0,1,1,1,0,0,0.0,-0.6151273942437077,79
0,1,1,1,1,0,0.0,-0.6151273942437077,89
1,0,0,0,1,1,0.0,-0.61,120
1,0,0,0,0,1,0.0,-0.61,82
0,1,0,0,1,1,0.0,-0.61,162
0,1,0,0,0,1,0.0,-0.61,111
1,0,0,1,1,0,0.0,-0.5599999999999999,14
1,0,0,1,0,0,0.0,-0.5599999999999999,17
0,1,0,1,0,0,0.0,-0.5599999999999999,17
0,1,0,1,1,0,0.0,-0.5599999999999999,30
1,0,1,0,0,1,0.0,-0.5585006515436371,19
1,0,1,0,1,1,0.0,-0.5585006515436371,12
0,1,1,0,0,1,0.0,-0.5585006515436371,12
0,1,1,0,1,1,0.0,-0.5585006515436371,21
0,1,1,0,0,0,0.0,-0.54,8
1,0,1,0,1,0,0.0,-0.54,10
0,1,1,0,1,0,0.0,-0.54,6
1,0,1,0,0,0,0.0,-0.54,6
1,0,0,1,0,1,0.0,-0.5384860838378875,8
1,0,0,1,1,1,0.0,-0.5384860838378875,11
0,1,0,1,1,1,0.0,-0.5384860838378875,15
0,1,0,1,0,1,0.0,-0.5384860838378875,13
1,0,1,1,0,1,0.0,-0.35211412962523236,1
0,1,0,0,1,0,0.0,-0.35,1
0,1,0,0,0,0,0.0,-0.35,1
