0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.248894475892224,14
0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.248894475892224,12
0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.24385636669524,14
1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.24385636669524,17
0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.240948574172167,10
1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.240948574172167,18
0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-4.240797853781184,2
1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-4.240797853781184,6
1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.2388944758922245,11
0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.2388944758922245,15
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-4.237259739258982,6
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-4.237259739258982,10
0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.2359104649751815,15
1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.2359104649751815,24
1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.2357597445841995,8
0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.2357597445841995,11
1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.233856366695239,21
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.233856366695239,12
0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.232851952061127,6
1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.232851952061127,7
0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.232221630061997,18
1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.232221630061997,17
0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-4.230797853781184,7
1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-4.230797853781184,12
0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-4.229163117147943,1
1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-4.229163117147943,7
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.227813842864142,12
1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.227813842864142,6
0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.225759744584199,6
1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.225759744584199,8
1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.224125007950958,8
0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.224125007950958,8
1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-4.212521824589675,6
0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-4.212521824589675,2
1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-4.207483715392691,15
0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-4.207483715392691,10
1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-4.204575922869618,8
0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-4.204575922869618,7
0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-4.202521824589676,6
1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-4.202521824589676,7
1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-4.200887087956433,7
0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-4.200887087956433,4
0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-4.199537813672633,9
1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-4.199537813672633,6
1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-4.198894475892224,1
0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-4.198894475892224,2
1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-4.19748371539269,12
0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-4.19748371539269,13
0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-4.195848978759448,11
1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-4.195848978759448,16
0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,-4.19385636669524,3
1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,-4.19385636669524,8
0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0.0,-4.190948574172167,3
1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0.0,-4.190948574172167,6
1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0.0,-4.188894475892225,9
0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0.0,-4.188894475892225,6
0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0.0,-4.187259739258983,6
1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0.0,-4.187259739258983,7
0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0.0,-4.185910464975183,3
1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0.0,-4.185910464975183,6
0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-4.183856366695239,5
1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-4.183856366695239,7
0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0.0,-4.182221630061998,4
1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0.0,-4.182221630061998,6
1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0,-4.108894475892225,1
0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0,-4.108894475892225,1
0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0.0,-4.104000965455482,4
1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0.0,-4.104000965455482,3
1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0.0,-4.10385636669524,6
1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0.0,-4.100948574172167,2
0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0.0,-4.098962856258497,1
1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0.0,-4.098962856258497,6
0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0.0,-4.098894475892225,2
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.0,-4.098894475892225,2
0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0.0,-4.097259739258982,2
1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0.0,-4.097259739258982,2
0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0.0,-4.096055063735425,1
1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0.0,-4.096055063735425,4
1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0.0,-4.095910464975182,1
1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0.0,-4.094000965455482,4
0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0.0,-4.094000965455482,1
1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0.0,-4.093856366695239,1
0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0.0,-4.093856366695239,1
1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0.0,-4.09236622882224,1
0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0.0,-4.09236622882224,2
1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0.0,-4.092221630061998,3
0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0.0,-4.092221630061998,3
0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0.0,-4.09101695453844,4
1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0.0,-4.09101695453844,5
0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0.0,-4.0889628562584965,2
1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0.0,-4.0889628562584965,2
0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0.0,-4.087328119625256,1
1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0.0,-4.087328119625256,1
0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0.0,-4.0645759228696186,1
