0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,1,1,1,0,0.0,-0.54,18
1,0,1,0,1,0,1,0,0.0,-0.54,35
0,1,1,1,0,0,0,1,0.0,-0.54,32
1,1,1,0,0,1,1,0,0.0,-0.54,25
1,0,1,1,1,0,0,0,0.0,-0.54,32
1,0,0,0,1,0,1,0,0.0,-0.54,59
1,1,1,1,0,0,0,0,0.0,-0.54,29
0,0,0,1,1,0,0,1,0.0,-0.54,52
0,0,1,1,1,1,0,1,0.0,-0.54,17
0,1,0,1,0,0,0,1,0.0,-0.54,31
0,0,0,0,1,0,1,1,0.0,-0.54,47
1,0,0,1,1,1,0,0,0.0,-0.54,31
0,0,0,0,1,1,1,1,0.0,-0.54,19
1,1,1,1,0,1,0,0,0.0,-0.54,13
0,0,1,1,1,0,0,1,0.0,-0.54,31
0,0,1,0,1,0,1,1,0.0,-0.54,24
0,1,1,0,0,0,1,1,0.0,-0.54,31
0,0,1,0,1,1,1,1,0.0,-0.54,19
1,1,1,0,0,0,1,0,0.0,-0.54,35
1,1,0,1,0,0,0,0,0.0,-0.54,47
0,1,1,1,0,1,0,1,0.0,-0.54,15
1,1,0,1,0,1,0,0,0.0,-0.54,19
1,0,0,0,1,1,1,0,0.0,-0.54,31
1,1,0,0,0,0,1,0,0.0,-0.54,42
0,1,0,0,0,1,1,1,0.0,-0.54,20
0,1,1,0,0,1,1,1,0.0,-0.54,9
1,0,1,1,1,1,0,0,0.0,-0.54,17
0,1,0,1,0,1,0,1,0.0,-0.54,15
1,0,0,1,1,0,0,0,0.0,-0.54,41
0,1,0,0,0,0,1,1,0.0,-0.54,36
1,1,0,0,0,1,1,0,0.0,-0.54,18
0,0,0,1,1,1,0,1,0.0,-0.54,25
0,1,0,0,1,1,1,1,0.0,-0.4890779011964528,1
0,1,1,0,1,0,1,1,0.0,-0.4890779011964528,1
0,1,0,1,1,1,0,1,0.0,-0.4890779011964528,1
0,1,1,1,1,1,0,1,0.0,-0.4890779011964528,1
1,1,1,1,1,1,0,0,0.0,-0.4890779011964528,1
1,1,1,1,1,0,0,0,0.0,-0.4890779011964528,2
1,1,0,1,1,0,0,0,0.0,-0.4890779011964528,3
1,1,0,0,1,1,1,0,0.0,-0.4890779011964528,1
0,1,1,0,1,1,1,1,0.0,-0.4890779011964528,2
0,1,0,0,1,0,1,1,0.0,-0.4890779011964528,5
1,1,1,0,1,0,1,0,0.0,-0.4890779011964528,1
0,1,0,1,1,0,0,1,0.0,-0.4890779011964528,4
1,1,0,0,1,0,1,0,0.0,-0.4890779011964528,1
1,1,1,0,1,1,1,0,0.0,-0.4890779011964528,2
0,0,1,0,0,0,1,1,0.0,-0.48000000000000004,4
1,0,0,0,0,1,1,0,0.0,-0.48000000000000004,1
0,0,0,1,0,1,0,1,0.0,-0.48000000000000004,1
1,0,1,1,0,1,0,0,0.0,-0.48000000000000004,4
1,0,0,1,0,0,0,0,0.0,-0.48000000000000004,7
1,0,1,0,0,0,1,0,0.0,-0.48000000000000004,4
0,0,1,1,0,0,0,1,0.0,-0.48000000000000004,5
1,0,1,0,0,1,1,0,0.0,-0.48000000000000004,3
0,0,1,1,0,1,0,1,0.0,-0.48000000000000004,4
0,0,0,0,0,1,1,1,0.0,-0.48000000000000004,5
1,0,0,1,0,1,0,0,0.0,-0.48000000000000004,3
1,0,0,0,0,0,1,0,0.0,-0.48000000000000004,4
0,0,0,1,0,0,0,1,0.0,-0.48000000000000004,8
1,0,1,1,0,0,0,0,0.0,-0.48000000000000004,2
0,0,0,0,0,0,1,1,0.0,-0.48000000000000004,3
1,1,1,1,0,0,1,0,0.0,-0.3434197288477127,1
