0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-7.074136083419976,10
1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-7.074136083419976,5
1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0.0,-7.074076182241063,6
1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0.0,-7.074076182241063,5
0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-7.072858880446075,7
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-7.072858880446075,8
0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0.0,-7.072798979267162,2
0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0.0,-7.072798979267162,3
1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-7.070997011872425,10
1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0.0,-7.070997011872425,9
1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0.0,-7.070937110693512,10
1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0.0,-7.070937110693512,11
0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0.0,-7.069719808898524,10
0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-7.069719808898524,12
0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0.0,-7.069659907719611,6
0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0.0,-7.069659907719611,5
1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0.0,-7.0695904346101575,9
1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0.0,-7.0695904346101575,10
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0.0,-7.069530533431244,5
1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-7.069530533431244,6
0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0.0,-7.068313231636257,3
0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0.0,-7.068313231636257,9
0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-7.068253330457344,4
0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0.0,-7.068253330457344,5
1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-7.0664513630626065,10
1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0.0,-7.0664513630626065,14
1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-7.066391461883693,12
1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-7.066391461883693,13
0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-7.0651741600887075,11
0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0.0,-7.0651741600887075,10
0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-7.065114258909794,8
0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-7.065114258909794,7
1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0.0,-7.0117307405473035,3
1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0.0,-7.0117307405473035,3
1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0.0,-7.01167083936839,2
1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0.0,-7.010564248482021,3
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0.0,-7.010564248482021,6
1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0.0,-7.010504347303108,2
0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0.0,-7.010453537573403,1
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0.0,-7.010453537573403,5
0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0.0,-7.01039363639449,1
0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0.0,-7.009287045508122,3
0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0.0,-7.009287045508122,3
0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0.0,-7.009227144329209,3
0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0.0,-7.009227144329209,2
1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0.0,-7.0085916689997525,3
1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0.0,-7.0085916689997525,9
1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0.0,-7.008531767820839,2
1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0.0,-7.008531767820839,2
1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0.0,-7.007425176934472,2
1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0.0,-7.007425176934472,4
1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0.0,-7.007365275755559,6
0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0.0,-7.0073144660258535,3
0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0.0,-7.0073144660258535,4
0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0.0,-7.00725456484694,2
0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0.0,-7.006147973960571,7
0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0.0,-7.006088072781658,2
0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-7.004136083419976,3
0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-7.004136083419976,2
0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0.0,-7.004076182241063,2
1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-7.004044568832045,3
1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-7.004044568832045,4
1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0.0,-7.003984667653132,1
