0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,1,0,1,1,0,0.0,-0.9021485820900489,25
0,1,1,0,0,1,1,1,1,0,0.0,-0.9021485820900489,23
0,1,1,0,0,1,0,1,1,0,0.0,-0.9021485820900489,35
1,0,1,0,0,1,1,1,1,0,0.0,-0.9021485820900489,23
1,0,1,0,0,0,0,1,1,0,0.0,-0.9021485820900489,39
0,1,1,0,0,0,0,1,1,0,0.0,-0.9021485820900489,39
0,1,1,0,0,0,1,1,1,0,0.0,-0.9021485820900489,39
1,0,1,0,0,0,1,1,1,0,0.0,-0.9021485820900489,32
0,1,1,0,0,0,1,0,0,1,0.0,-0.8999999999999999,23
1,0,1,0,0,1,0,0,0,1,0.0,-0.8999999999999999,11
0,1,1,0,0,1,0,0,0,1,0.0,-0.8999999999999999,10
0,1,1,0,0,0,0,0,0,1,0.0,-0.8999999999999999,40
1,0,1,0,0,1,1,0,0,1,0.0,-0.8999999999999999,14
1,0,1,0,0,0,1,0,0,1,0.0,-0.8999999999999999,19
1,0,1,0,0,0,0,0,0,1,0.0,-0.8999999999999999,21
0,1,1,0,0,1,1,0,0,1,0.0,-0.8999999999999999,17
0,1,0,1,1,1,0,1,1,0,0.0,-0.8977886580959825,30
1,0,0,1,1,0,0,1,1,0,0.0,-0.8977886580959825,33
0,1,0,1,1,1,1,1,1,0,0.0,-0.8977886580959825,26
1,0,0,1,1,1,0,1,1,0,0.0,-0.8977886580959825,28
0,1,0,1,1,0,0,1,1,0,0.0,-0.8977886580959825,44
1,0,0,1,1,1,1,1,1,0,0.0,-0.8977886580959825,18
0,1,0,1,1,0,1,1,1,0,0.0,-0.8977886580959825,32
1,0,0,1,1,0,1,1,1,0,0.0,-0.8977886580959825,41
1,0,0,1,1,1,0,0,0,1,0.0,-0.8956400760059335,15
0,1,0,1,1,0,0,0,0,1,0.0,-0.8956400760059335,13
1,0,0,1,1,1,1,0,0,1,0.0,-0.8956400760059335,11
0,1,0,1,1,1,1,0,0,1,0.0,-0.8956400760059335,16
1,0,0,1,1,0,1,0,0,1,0.0,-0.8956400760059335,12
0,1,0,1,1,0,1,0,0,1,0.0,-0.8956400760059335,24
0,1,0,1,1,1,0,0,0,1,0.0,-0.8956400760059335,17
1,0,0,1,1,0,0,0,0,1,0.0,-0.8956400760059335,25
1,0,1,0,0,1,0,1,0,0,0.0,-0.85,4
0,1,1,0,0,1,0,1,0,0,0.0,-0.85,4
0,1,1,0,0,0,1,1,0,0,0.0,-0.85,2
1,0,1,0,0,0,0,1,0,0,0.0,-0.85,5
1,0,1,0,0,0,1,1,0,0,0.0,-0.85,4
0,1,1,0,0,0,0,1,0,0,0.0,-0.85,7
1,0,1,0,0,1,1,1,0,0,0.0,-0.85,4
1,0,0,1,1,0,1,1,0,0,0.0,-0.8456400760059336,1
0,1,0,1,1,0,1,1,0,0,0.0,-0.8456400760059336,2
1,0,0,1,1,1,0,1,0,0,0.0,-0.8456400760059336,3
0,1,0,1,1,0,0,1,0,0,0.0,-0.8456400760059336,4
0,1,0,1,1,1,0,1,0,0,0.0,-0.8456400760059336,4
1,0,0,1,1,0,0,1,0,0,0.0,-0.8456400760059336,6
0,1,0,1,1,1,1,1,0,0,0.0,-0.8456400760059336,3
0,1,1,0,0,0,1,0,1,1,0.0,-0.8418680033424715,1
1,0,1,0,0,0,0,0,1,1,0.0,-0.8418680033424715,2
1,0,1,0,0,0,1,0,1,1,0.0,-0.8418680033424715,1
0,1,1,0,0,1,0,0,1,1,0.0,-0.8418680033424715,2
0,1,1,0,0,1,1,0,1,1,0.0,-0.8418680033424715,2
1,0,1,0,0,1,0,0,1,1,0.0,-0.8418680033424715,3
0,1,1,0,0,0,0,0,1,1,0.0,-0.8418680033424715,3
1,0,1,0,0,1,1,0,1,1,0.0,-0.8418680033424715,1
0,1,0,1,1,1,0,0,1,1,0.0,-0.8375080793484051,1
1,0,0,1,1,1,0,0,1,1,0.0,-0.8375080793484051,2
0,1,0,1,1,1,1,0,1,1,0.0,-0.8375080793484051,3
0,1,0,1,1,0,1,0,1,1,0.0,-0.8375080793484051,1
1,0,0,1,1,0,0,0,1,1,0.0,-0.8375080793484051,3
1,0,0,1,1,0,1,0,1,1,0.0,-0.8375080793484051,4
0,1,0,1,1,0,0,0,1,1,0.0,-0.8375080793484051,4
1,0,0,0,1,1,1,1,1,0,0.0,-0.8321485820900488,2
1,0,0,0,1,1,0,1,1,0,0.0,-0.8321485820900488,1
0,1,0,0,1,0,0,1,1,0,0.0,-0.8321485820900488,1
1,0,0,0,1,0,1,1,1,0,0.0,-0.8321485820900488,3
1,0,0,0,1,0,0,1,1,0,0.0,-0.8321485820900488,1
0,1,0,0,1,1,1,1,1,0,0.0,-0.8321485820900488,4
0,1,0,0,1,1,0,1,1,0,0.0,-0.8321485820900488,7
1,0,1,1,0,1,0,1,1,0,0.0,-0.8303855010679805,2
0,1,1,1,0,1,1,1,1,0,0.0,-0.8303855010679805,3
1,0,1,1,0,0,0,1,1,0,0.0,-0.8303855010679805,3
0,1,1,1,0,1,0,1,1,0,0.0,-0.8303855010679805,5
0,1,1,1,0,0,1,1,1,0,0.0,-0.8303855010679805,3
0,1,1,1,0,0,0,1,1,0,0.0,-0.8303855010679805,4
1,0,1,1,0,0,1,1,1,0,0.0,-0.8303855010679805,6
1,0,0,0,1,0,1,0,0,1,0.0,-0.8300000000000001,3
1,0,0,0,1,1,1,0,0,1,0.0,-0.8300000000000001,2
0,1,0,0,1,1,0,0,0,1,0.0,-0.8300000000000001,1
0,1,0,0,1,0,0,0,0,1,0.0,-0.8300000000000001,1
1,0,0,0,1,0,0,0,0,1,0.0,-0.8300000000000001,4
0,1,0,0,1,0,1,0,0,1,0.0,-0.8300000000000001,1
1,0,1,1,0,1,1,0,0,1,0.0,-0.8282369189779317,2
0,1,1,1,0,0,1,0,0,1,0.0,-0.8282369189779317,1
0,1,1,1,0,1,0,0,0,1,0.0,-0.8282369189779317,1
0,1,1,1,0,1,1,0,0,1,0.0,-0.8282369189779317,3
0,1,1,1,0,0,0,0,0,1,0.0,-0.8282369189779317,2
1,0,1,1,0,0,0,0,0,1,0.0,-0.8282369189779317,2
1,0,1,1,0,1,0,0,0,1,0.0,-0.8282369189779317,1
1,1,1,0,0,1,0,1,1,0,0.0,-0.7949496210476871,2
