0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,0,1,0.0,-0.11,9
1,1,1,0,0,1,0,0.0,-0.11,21
0,1,0,1,1,0,1,0.0,-0.11,29
0,1,1,1,1,0,1,0.0,-0.11,35
0,1,1,1,1,1,0,0.0,-0.11,24
1,1,1,0,1,0,1,0.0,-0.11,10
0,0,0,1,1,0,1,0.0,-0.11,39
0,1,0,1,1,1,0,0.0,-0.11,24
1,0,1,0,1,1,0,0.0,-0.11,24
1,0,1,0,1,0,1,0.0,-0.11,17
0,0,1,1,0,0,1,0.0,-0.11,57
0,1,1,1,0,1,0,0.0,-0.11,41
1,1,0,0,1,0,1,0.0,-0.11,11
1,1,0,0,0,1,0,0.0,-0.11,17
0,0,0,1,1,1,0,0.0,-0.11,56
0,0,0,1,0,0,1,0.0,-0.11,59
1,1,0,0,1,1,0,0.0,-0.11,21
0,1,1,1,0,0,1,0.0,-0.11,39
0,1,0,1,0,1,0,0.0,-0.11,33
0,1,0,1,0,0,1,0.0,-0.11,38
1,0,0,0,0,0,1,0.0,-0.11,32
0,0,1,1,1,1,0,0.0,-0.11,47
0,0,1,1,1,0,1,0.0,-0.11,44
1,0,1,0,0,1,0,0.0,-0.11,26
1,1,0,0,0,0,1,0.0,-0.11,22
1,1,1,0,1,1,0,0.0,-0.11,19
1,0,0,0,1,0,1,0.0,-0.11,23
1,0,1,0,0,0,1,0.0,-0.11,28
0,0,0,1,0,1,0,0.0,-0.11,56
1,0,0,0,0,1,0,0.0,-0.11,27
0,0,1,1,0,1,0,0.0,-0.11,53
1,0,0,0,1,1,0,0.0,-0.11,18
1,0,1,1,0,0,1,0.0,-0.059411166204458216,1
