0,1,2,3,4,5,6,7,8,9,10,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,0,1,0,1,1,1,0.0,-1.65,12
0,1,0,1,0,0,0,0,1,1,0,0.0,-1.65,27
0,1,0,1,0,0,1,0,1,1,0,0.0,-1.65,23
0,1,0,0,0,0,0,0,1,1,1,0.0,-1.65,27
1,1,0,0,0,0,0,0,0,1,1,0.0,-1.65,43
1,1,0,0,0,0,1,0,0,1,1,0.0,-1.65,35
1,1,0,1,0,0,0,0,0,1,0,0.0,-1.65,42
1,1,0,1,0,0,1,0,0,1,0,0.0,-1.65,24
0,0,1,0,1,0,1,0,1,1,1,0.0,-1.6456400760059338,14
0,0,1,0,1,0,0,0,1,1,1,0.0,-1.6456400760059338,25
0,0,1,1,1,0,1,0,1,1,0,0.0,-1.6456400760059338,17
1,0,1,0,1,0,1,0,0,1,1,0.0,-1.6456400760059338,22
1,0,1,1,1,0,0,0,0,1,0,0.0,-1.6456400760059338,31
1,0,1,0,1,0,0,0,0,1,1,0.0,-1.6456400760059338,34
1,0,1,1,1,0,1,0,0,1,0,0.0,-1.6456400760059338,20
0,0,1,1,1,0,0,0,1,1,0,0.0,-1.6456400760059338,27
0,1,0,0,0,1,0,1,1,0,1,0.0,-1.6421485820900492,30
1,1,0,0,0,1,0,1,0,0,1,0.0,-1.6421485820900492,48
0,1,0,0,0,1,1,1,1,0,1,0.0,-1.6421485820900492,25
1,1,0,0,0,1,1,1,0,0,1,0.0,-1.6421485820900492,21
1,1,0,1,0,1,0,1,0,0,0,0.0,-1.6421485820900492,45
0,1,0,1,0,1,0,1,1,0,0,0.0,-1.6421485820900492,31
0,1,0,1,0,1,1,1,1,0,0,0.0,-1.6421485820900492,19
1,1,0,1,0,1,1,1,0,0,0,0.0,-1.6421485820900492,39
0,0,1,0,1,1,0,1,1,0,1,0.0,-1.6377886580959826,22
0,0,1,0,1,1,1,1,1,0,1,0.0,-1.6377886580959826,19
1,0,1,0,1,1,1,1,0,0,1,0.0,-1.6377886580959826,30
1,0,1,1,1,1,0,1,0,0,0,0.0,-1.6377886580959826,35
0,0,1,1,1,1,0,1,1,0,0,0.0,-1.6377886580959826,25
0,0,1,1,1,1,1,1,1,0,0,0.0,-1.6377886580959826,26
1,0,1,1,1,1,1,1,0,0,0,0.0,-1.6377886580959826,26
1,0,1,0,1,1,0,1,0,0,1,0.0,-1.6377886580959826,35
1,0,0,0,1,0,0,0,0,1,1,0.0,-1.58,1
0,0,0,0,1,0,1,0,1,1,1,0.0,-1.58,3
1,0,0,0,1,0,1,0,0,1,1,0.0,-1.58,1
1,0,0,1,1,0,0,0,0,1,0,0.0,-1.58,2
0,0,0,1,1,0,1,0,1,1,0,0.0,-1.58,1
1,0,0,1,1,0,1,0,0,1,0,0.0,-1.58,5
0,1,1,0,0,0,0,0,1,1,1,0.0,-1.578236918977932,2
0,1,1,0,0,0,1,0,1,1,1,0.0,-1.578236918977932,4
0,1,1,1,0,0,0,0,1,1,0,0.0,-1.578236918977932,1
1,1,1,1,0,0,0,0,0,1,0,0.0,-1.578236918977932,5
1,1,1,0,0,0,1,0,0,1,1,0.0,-1.578236918977932,5
1,1,1,1,0,0,1,0,0,1,0,0.0,-1.578236918977932,6
1,1,1,0,0,0,0,0,0,1,1,0.0,-1.578236918977932,9
0,1,1,1,0,0,1,0,1,1,0,0.0,-1.578236918977932,1
0,0,0,1,1,1,0,1,1,0,0,0.0,-1.572148582090049,2
1,0,0,0,1,1,1,1,0,0,1,0.0,-1.572148582090049,1
1,0,0,0,1,1,0,1,0,0,1,0.0,-1.572148582090049,3
1,0,0,1,1,1,1,1,0,0,0,0.0,-1.572148582090049,2
1,0,0,1,1,1,0,1,0,0,0,0.0,-1.572148582090049,4
1,1,1,1,0,1,1,1,0,0,0,0.0,-1.5703855010679808,1
1,1,1,0,0,1,0,1,0,0,1,0.0,-1.5703855010679808,4
0,1,1,1,0,1,1,1,1,0,0,0.0,-1.5703855010679808,1
1,1,1,1,0,1,0,1,0,0,0,0.0,-1.5703855010679808,3
1,1,1,0,0,1,1,1,0,0,1,0.0,-1.5703855010679808,6
0,1,1,0,0,1,0,1,1,0,1,0.0,-1.5703855010679808,5
0,1,1,1,0,1,0,1,1,0,0,0.0,-1.5703855010679808,8
0,0,1,1,0,0,0,0,1,1,0,0.0,-1.47,1
1,0,1,1,0,0,1,0,0,1,0,0.0,-1.47,1
1,1,0,0,1,0,0,0,0,1,1,0.0,-1.4679317589320195,2
1,0,1,0,0,1,1,1,0,0,1,0.0,-1.462148582090049,1
0,0,1,1,0,1,1,1,1,0,0,0.0,-1.462148582090049,1
1,1,0,1,1,1,1,1,0,0,0,0.0,-1.4600803410220684,2
0,1,0,1,0,1,0,0,1,0,0,0.0,-1.4100000000000001,1
1,1,0,1,0,0,0,1,0,1,0,0.0,-1.4081286709227867,1
0,0,1,0,1,1,0,0,1,0,1,0.0,-1.4056400760059335,1
1,0,1,1,1,1,1,0,0,0,0,0.0,-1.4056400760059335,1
0,0,1,1,1,0,1,0,1,1,1,0.0,-1.3954171948091312,1
1,0,1,1,1,0,1,1,0,0,0,0.0,-1.3856400760059335,1
0,0,0,0,1,0,0,1,1,0,1,0.0,-1.3199999999999998,1
