0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0.0,-233.42000000000002,295
0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0.0,-233.42000000000002,410
0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0.0,-218.85000000000002,91
1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0.0,-218.85000000000002,73
1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0.0,-215.58000000000004,81
0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0.0,-215.58000000000004,220
1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0.0,-211.61,55
0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0.0,-211.61,39
1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-209.74,86
0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-209.74,57
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0.0,-201.01,50
1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0.0,-201.01000000000005,12
1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0.0,-199.75,13
0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0.0,-199.75000000000003,11
1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0.0,-198.52000000000004,33
0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0.0,-198.52000000000004,31
1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0.0,-197.04000000000008,6
0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0.0,-197.04000000000002,8
0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-195.17000000000002,21
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-195.17000000000002,27
0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0.0,-193.77000000000004,13
1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0.0,-193.77000000000004,28
0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0.0,-191.90000000000003,29
1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0.0,-191.90000000000003,17
0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0.0,-189.77999999999997,9
1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0.0,-189.78000000000003,8
1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-187.93000000000006,9
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-187.93,10
1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0.0,-185.43000000000006,4
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0,-185.43,15
0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0.0,-185.18000000000004,1
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0.0,-185.18,3
1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0.0,-183.95000000000005,4
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0.0,-183.95000000000005,5
1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0.0,-181.91000000000003,3
0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0.0,-181.91000000000005,18
