0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
1,0,1,0,1,1,0,0.0,-0.37,14
0,1,0,1,0,1,0,0.0,-0.37,36
0,0,1,1,0,1,0,0.0,-0.37,23
0,0,1,1,0,0,0,0.0,-0.37,27
0,1,0,0,1,0,0,0.0,-0.37,30
0,0,1,1,0,0,1,0.0,-0.37,30
1,1,0,0,1,1,1,0.0,-0.37,27
0,1,0,1,0,1,1,0.0,-0.37,49
1,1,0,1,0,0,1,0.0,-0.37,43
1,1,0,1,0,1,0,0.0,-0.37,22
0,0,1,0,1,1,0,0.0,-0.37,13
1,1,0,0,1,0,0,0.0,-0.37,42
1,0,1,0,1,1,1,0.0,-0.37,33
1,0,1,0,1,0,0,0.0,-0.37,14
1,0,1,1,0,0,0,0.0,-0.37,20
1,1,0,1,0,1,1,0.0,-0.37,37
0,1,0,1,0,0,1,0.0,-0.37,55
0,1,0,1,0,0,0,0.0,-0.37,40
0,1,0,0,1,0,1,0.0,-0.37,40
0,0,1,0,1,0,1,0.0,-0.37,25
0,0,1,1,0,1,1,0.0,-0.37,29
0,0,1,0,1,0,0,0.0,-0.37,19
1,1,0,0,1,0,1,0.0,-0.37,37
1,0,1,0,1,0,1,0.0,-0.37,24
1,0,1,1,0,1,1,0.0,-0.37,25
1,0,1,1,0,0,1,0.0,-0.37,25
1,1,0,1,0,0,0,0.0,-0.37,40
0,1,0,0,1,1,1,0.0,-0.37,34
1,0,1,1,0,1,0,0.0,-0.37,16
1,1,0,0,1,1,0,0.0,-0.37,24
0,0,1,0,1,1,1,0.0,-0.37,35
0,1,0,0,1,1,0,0.0,-0.37,33
0,1,1,0,1,0,0,0.0,-0.2788944758922248,1
0,1,1,1,0,0,1,0.0,-0.2788944758922248,1
0,1,1,0,1,0,1,0.0,-0.2788944758922248,1
1,1,1,1,0,0,1,0.0,-0.2788944758922248,1
1,1,1,0,1,0,0,0.0,-0.2788944758922248,2
1,1,1,0,1,1,1,0.0,-0.2788944758922248,1
1,1,1,1,0,1,1,0.0,-0.2788944758922248,3
0,1,1,0,1,1,0,0.0,-0.2788944758922248,1
0,1,1,1,0,1,0,0.0,-0.2788944758922248,1
1,1,1,0,1,1,0,0.0,-0.2788944758922248,1
0,1,1,1,0,1,1,0.0,-0.2788944758922248,3
1,1,1,0,1,0,1,0.0,-0.2788944758922248,2
0,1,1,1,0,0,0,0.0,-0.2788944758922248,3
1,0,0,1,0,0,1,0.0,-0.27,1
1,0,0,1,0,1,0,0.0,-0.27,1
0,0,0,0,1,1,0,0.0,-0.27,2
1,0,0,0,1,0,1,0.0,-0.27,1
0,0,0,0,1,1,1,0.0,-0.27,1
0,0,0,0,1,0,1,0.0,-0.27,2
0,0,0,1,0,1,0,0.0,-0.27,1
1,0,0,1,0,1,1,0.0,-0.27,2
1,0,0,0,1,1,1,0.0,-0.27,1
1,0,0,0,1,0,0,0.0,-0.27,2
1,0,0,1,0,0,0,0.0,-0.27,2
0,0,0,1,0,1,1,0.0,-0.27,2
