0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.248894475892224,20
1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.248894475892224,15
1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.24385636669524,5
0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.24385636669524,14
0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.240948574172167,11
1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.240948574172167,12
1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-4.240797853781184,8
0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-4.240797853781184,23
0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.2388944758922245,9
1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.2388944758922245,7
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-4.237259739258982,32
1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-4.237259739258982,28
1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.2359104649751815,1
0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.2359104649751815,8
0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.2357597445841995,9
1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.2357597445841995,11
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.233856366695239,3
1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.233856366695239,3
1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.232851952061127,3
0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.232851952061127,17
0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.232221630061997,11
1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.232221630061997,11
1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-4.230797853781184,1
0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-4.230797853781184,5
0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-4.229163117147943,23
1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-4.229163117147943,13
1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.227813842864142,4
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.227813842864142,10
1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.225759744584199,2
0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.225759744584199,6
1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.224125007950958,11
0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.224125007950958,14
