0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,0,1,1,1,0,0.0,-0.1,23
1,0,1,1,0,1,0.0,-0.1,41
0,0,1,1,0,1,0.0,-0.1,36
1,1,0,0,1,0,0.0,-0.1,21
1,0,1,0,0,0,0.0,-0.1,20
1,0,1,0,1,0,0.0,-0.1,16
1,0,1,1,0,0,0.0,-0.1,31
0,1,0,0,1,0,0.0,-0.1,20
1,1,0,0,1,1,0.0,-0.1,30
1,1,0,0,0,0,0.0,-0.1,39
1,1,0,1,1,1,0.0,-0.1,44
1,1,0,1,0,0,0.0,-0.1,30
0,1,0,1,1,0,0.0,-0.1,29
0,0,1,1,1,0,0.0,-0.1,15
0,0,1,0,0,0,0.0,-0.1,26
1,1,0,0,0,1,0.0,-0.1,64
1,0,1,0,1,1,0.0,-0.1,22
0,1,0,0,0,1,0.0,-0.1,33
1,1,0,1,0,1,0.0,-0.1,59
0,0,1,0,1,0,0.0,-0.1,11
1,1,0,1,1,0,0.0,-0.1,33
0,1,0,1,1,1,0.0,-0.1,33
0,1,0,1,0,1,0.0,-0.1,43
0,1,0,0,0,0,0.0,-0.1,28
0,1,0,1,0,0,0.0,-0.1,29
0,0,1,1,0,0,0.0,-0.1,29
1,0,1,1,1,1,0.0,-0.1,31
1,0,1,0,0,1,0.0,-0.1,46
0,1,0,0,1,1,0.0,-0.1,34
0,0,1,0,1,1,0.0,-0.1,22
0,0,1,0,0,1,0.0,-0.1,32
0,0,1,1,1,1,0.0,-0.1,27
1,1,1,0,0,0,0.0,-0.008464985795160668,1
0,1,1,0,0,0,0.0,-0.008464985795160668,1
0,1,1,1,0,1,0.0,-0.008464985795160668,1
