0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
1,0,0,1,0,1,0,0,0,0.0,-2.51,59
0,0,1,1,0,1,0,1,0,0.0,-2.51,51
0,1,1,0,0,1,0,1,1,0.0,-2.5094111662044583,33
1,1,0,0,0,1,0,0,1,0.0,-2.5094111662044583,60
0,0,1,1,1,0,1,1,0,0.0,-2.502148582090049,158
1,0,0,1,1,0,1,0,0,0.0,-2.502148582090049,199
1,1,0,0,1,0,1,0,1,0.0,-2.501559748294507,236
0,1,1,0,1,0,1,1,1,0.0,-2.501559748294507,141
1,0,0,1,1,0,0,0,0,0.0,-2.25,6
0,0,1,1,1,0,0,1,0,0.0,-2.25,3
0,1,1,0,1,0,0,1,1,0.0,-2.249411166204458,3
1,1,0,0,1,0,0,0,1,0.0,-2.249411166204458,4
0,0,1,1,0,1,1,1,0,0.0,-2.248657084878592,3
1,1,0,0,0,1,1,0,1,0.0,-2.2480682510830503,1
0,1,1,0,0,1,1,1,1,0.0,-2.2480682510830503,1
1,0,0,1,1,1,0,0,0,0.0,-2.208682916658006,1
0,0,1,1,1,1,0,1,0,0.0,-2.208682916658006,2
1,1,0,0,1,1,0,0,1,0.0,-2.2080940828624636,1
0,1,1,0,1,1,0,1,1,0.0,-2.2080940828624636,1
0,0,1,1,0,0,1,1,0,0.0,-2.2,1
1,0,0,1,0,0,1,0,0,0.0,-2.2,2
1,1,0,0,0,0,1,0,1,0.0,-2.199411166204458,1
0,1,1,0,0,0,1,1,1,0.0,-2.199411166204458,1
1,0,0,0,0,1,0,0,1,0.0,-2.19,1
0,1,1,1,0,1,0,1,0,0.0,-2.183991800912077,2
0,0,1,0,1,0,1,1,1,0.0,-2.182148582090049,1
1,0,0,0,1,0,1,0,1,0.0,-2.182148582090049,3
1,1,0,1,1,0,1,0,0,0.0,-2.1761403830021258,1
0,1,1,1,1,0,1,1,0,0.0,-2.1761403830021258,4
1,0,1,1,0,1,0,0,0,0.0,-2.1580302335438777,1
0,0,1,1,0,1,0,1,1,0.0,-2.154264886745511,1
1,0,0,1,0,1,0,0,1,0.0,-2.154264886745511,1
0,0,0,1,1,0,1,1,0,0.0,-2.152148582090049,2
0,1,0,0,1,0,1,1,1,0.0,-2.151559748294507,2
1,0,1,1,1,0,1,0,0,0.0,-2.1501788156339265,2
1,1,0,0,0,1,0,0,0,0.0,-2.15,1
1,1,1,0,1,0,1,0,1,0.0,-2.1495899818383846,4
0,0,1,1,1,0,1,1,1,0.0,-2.1464134688355605,1
0,1,1,0,1,0,1,1,0,0.0,-2.1421485820900488,1
1,1,0,0,1,0,1,0,0,0.0,-2.1421485820900488,4
