0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.846938946050068,16
0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.846937122377616,15
0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.846641248124145,8
0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.846639424451691,25
1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.8440463925045,29
1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.844044568832047,29
1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.843748694578574,24
1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.843746870906122,33
0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.839254225692699,12
0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.839252402020245,5
1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.83636167214713,23
1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.836359848474675,17
0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.83239329724025,6
0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.832391473567796,9
1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.829500743694679,12
1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.829498920022226,18
0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.783367111112115,10
0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.783365287439663,3
0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.783069413186192,6
0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.783067589513738,7
0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.781394531629845,5
0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.781392707957393,4
1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.780474557566547,16
1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.780472733894094,19
1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.780176859640621,19
1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.780175035968169,14
1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.778501978084277,9
1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.778500154411823,9
0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.774533603177396,3
0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.774531779504942,3
1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.771641049631826,7
1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.771639225959373,3
0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.718522940994477,3
0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.718521117322023,2
0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.718033363682839,4
0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.717735665756914,2
0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.717733842084462,6
1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.71563038744891,8
1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.715628563776455,5
1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0.0,-8.71514081013727,5
1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0.0,-8.715138986464815,2
1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0.0,-8.714843112211346,7
1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0.0,-8.714841288538892,8
0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.711662012542027,4
0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.711660188869574,3
1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0.0,-8.708769458996459,4
1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0.0,-8.708767635324005,6
0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-8.708092968051897,6
0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-8.708091144379443,1
