0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,0,1,0,1,0,1,0.0,-0.33,25
1,0,1,0,0,1,0,1,0.0,-0.33,14
1,0,1,0,0,1,0,0,0.0,-0.33,23
0,1,0,1,1,1,0,0,0.0,-0.33,27
0,1,0,1,0,1,0,1,0.0,-0.33,25
1,0,1,0,1,1,0,0,0.0,-0.33,30
0,1,1,0,0,1,0,0,0.0,-0.33,24
1,0,0,1,0,1,0,0,0.0,-0.33,25
1,0,0,1,0,0,1,0,0.0,-0.33,50
0,1,1,0,1,0,1,1,0.0,-0.33,15
0,1,0,1,0,0,1,0,0.0,-0.33,36
0,1,0,1,1,0,1,1,0.0,-0.33,40
1,0,1,0,1,1,0,1,0.0,-0.33,25
0,1,1,0,0,0,1,1,0.0,-0.33,25
0,1,0,1,1,1,0,1,0.0,-0.33,24
0,1,1,0,0,0,1,0,0.0,-0.33,34
0,1,1,0,1,0,1,0,0.0,-0.33,30
0,1,1,0,0,1,0,1,0.0,-0.33,22
0,1,1,0,1,1,0,1,0.0,-0.33,20
1,0,1,0,0,0,1,0,0.0,-0.33,29
0,1,0,1,1,0,1,0,0.0,-0.33,33
1,0,0,1,0,0,1,1,0.0,-0.33,52
1,0,0,1,1,0,1,1,0.0,-0.33,55
1,0,0,1,1,1,0,1,0.0,-0.33,37
1,0,0,1,1,0,1,0,0.0,-0.33,60
0,1,0,1,0,0,1,1,0.0,-0.33,28
0,1,0,1,0,1,0,0,0.0,-0.33,21
0,1,1,0,1,1,0,0,0.0,-0.33,20
1,0,1,0,1,0,1,0,0.0,-0.33,35
1,0,1,0,0,0,1,1,0.0,-0.33,34
1,0,1,0,1,0,1,1,0.0,-0.33,43
1,0,0,1,1,1,0,0,0.0,-0.33,38
1,0,1,0,1,1,1,1,0.0,-0.22512946534682562,1
