0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0.0,-1665.0999999999997,961
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0.0,-1665.1000000000001,767
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0.0,-1552.9399999999996,48
1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0.0,-1552.94,28
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0.0,-1549.13,14
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0.0,-1549.1300000000003,16
1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0.0,-1548.1000000000004,33
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0.0,-1548.0999999999997,55
1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0.0,-1524.58,9
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0.0,-1524.58,7
0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.0,-1520.4699999999996,3
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0.0,-1520.4700000000003,2
0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0.0,-1502.51,3
1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0.0,-1502.51,3
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0.0,-1486.1000000000001,2
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0.0,-1486.1,8
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0.0,-1457.8399999999997,3
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0.0,-1457.8400000000006,2
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0.0,-1457.0,3
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0.0,-1457.0000000000002,3
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0.0,-1455.05,1
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0.0,-1426.0900000000001,1
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0.0,-1426.09,2
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0.041666666666666664,-1665.0999999999997,2
1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0.0,-1408.31,1
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0.0,-1405.47,1
1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0.0,-1401.84,1
0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0.0,-1373.2499999999998,1
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0.0,-1357.99,1
1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0.0,-1357.1799999999998,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0.0,-1357.1799999999996,2
1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0.0,-1353.1900000000003,1
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0.0,-1350.1599999999999,1
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0.0,-1350.1599999999996,5
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0.041666666666666664,-1665.0999999999997,1
1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0.0,-1344.7699999999998,1
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0.041666666666666664,-1665.0999999999997,1
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0.041666666666666664,-1665.1000000000001,1
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0.0,-1284.3100000000004,1
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0.0,-1266.7899999999997,1
1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0.0,-1245.02,1
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0.0,-1237.9999999999998,1
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0.041666666666666664,-1405.47,1
