0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,0,0,0.0,-22.91,682
0,1,1,1,1,1,1,0.0,-22.90999999999991,1045
0,0,0,0,0,0,0,0.0,0.0,75
1,1,1,1,1,1,1,0.0,1.7053025658242404e-13,140
1,0,0,0,0,1,0,0.0,24.330000000000002,15
0,1,1,1,1,0,1,0.0,24.329999999999984,15
1,1,0,1,0,0,0,0.0,40.05000000000001,5
0,0,1,0,1,1,1,0.0,40.049999999999955,9
0,0,0,0,0,1,0,0.0,47.24,3
1,1,1,1,1,0,1,0.0,47.240000000000066,2
1,1,0,0,0,0,0,0.0,55.5,1
0,0,1,1,1,1,1,0.0,55.50000000000006,5
0,1,0,1,0,0,0,0.0,62.960000000000036,2
1,0,0,1,0,0,0,0.0,161.64000000000001,1
