0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0.0,-851.0799999999992,313
0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0.0,-851.0799999999999,470
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0.0,-811.99,74
1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0.0,-811.99,408
0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0.0,-806.0799999999999,92
1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0.0,-806.0799999999995,183
0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0.0,-780.37,54
1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0.0,-780.3699999999997,72
0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0.0,-770.42,15
1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0.0,-770.4199999999994,25
0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0.0,-767.73,31
1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0.0,-767.7299999999998,57
0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0.0,-741.3699999999999,7
1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0.0,-741.3699999999997,11
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0.0,-739.77,9
1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0.0,-739.7699999999998,25
0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0.0,-730.0000000000001,2
1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0.0,-729.9999999999998,12
1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0.0,-726.9099999999999,9
0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0.0,-726.91,10
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,-708.0999999999999,20
1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.0,-708.0999999999998,5
1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0.0,-701.4099999999994,1
0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0.0,-701.4100000000001,1
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0.0,-698.7700000000001,9
1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0.0,-698.7699999999998,2
0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0.0,-693.56,3
1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0.0,-693.56,3
0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0.0,-693.4199999999998,4
1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0.0,-693.4199999999994,4
1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0.0,-686.5000000000002,12
1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0.0,-675.7099999999998,3
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0.0,-675.7099999999999,1
1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0.0,-670.9699999999996,5
1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0.058823529411764705,-811.99,1
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0.0,-658.67,6
1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0.0,-658.0799999999998,3
0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.0,-658.0799999999998,3
0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0.0,-652.3599999999999,1
1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0.0,-652.3599999999997,1
1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0.0,-644.8599999999999,1
0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0.0,-644.8599999999999,4
1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0.0,-630.9699999999996,1
1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0.0,-629.579999999999,1
0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0.0,-629.5799999999999,1
0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0.0,-624.1600000000001,2
0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0.0,-608.1699999999998,1
1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0.0,-608.1699999999998,1
0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0.0,-606.5899999999998,1
1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0.0,-585.9599999999996,1
0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0.0,-581.9699999999999,1
1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0.0,-581.9699999999998,2
0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0.0,-561.85,1
1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0.0,-554.1899999999998,1
0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0.0,-549.14,1
1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0.0,-549.1399999999994,1
0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0.0,-548.99,1
1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0.0,-543.63,1
0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0.0,-540.64,1
1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0.0,-535.8399999999997,1
0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0.0,-527.85,1
1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.0,-527.1200000000001,1
1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0.0,-524.2499999999997,1
1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0.058823529411764705,-546.1499999999995,1
0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0.0,-482.78,1
0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0,-482.0599999999999,1
0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0.0,-402.78,1
0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0.0,-166.68999999999994,1
