0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0.0,-523.2,448
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0.0,-523.2,836
0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0.0,-459.49,5
1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0.0,-459.4900000000001,7
0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-446.6700000000001,51
1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-446.67,119
0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0.0,-443.9,10
1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0.0,-443.89999999999986,21
0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0.0,-436.65999999999985,13
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0.0,-436.65999999999997,74
0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0.0,-407.77000000000004,5
1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0.0,-407.7700000000001,12
0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-406.73,10
1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-406.73,14
1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0.0,-403.1099999999999,22
0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0.0,-403.10999999999996,6
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0.0,-396.75999999999976,36
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-396.76,8
0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0.0,-396.72,1
1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0.0,-396.72,15
1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0.0,-393.54999999999984,31
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0.0,-393.54999999999995,9
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0.0,-393.43000000000006,3
1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0.0,-393.43,5
0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0.0,-391.0899999999998,1
1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0,-391.09000000000003,2
1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0.05555555555555555,-297.1399999999999,2
1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0.0,-390.78000000000003,3
0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.0,-390.78000000000003,1
1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0.0,-389.0100000000001,4
0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0.0,-389.00999999999993,11
0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0.0,-385.93999999999994,3
1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0.0,-385.78999999999985,4
0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0,-385.79,2
0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0.0,-382.79999999999995,1
1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0.05555555555555555,-287.1299999999999,1
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-380.22,2
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-380.2199999999998,11
1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0.0,-378.20000000000005,1
0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0.0,-378.1999999999999,36
1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0.0,-377.00999999999976,7
0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0.0,-377.01000000000005,3
0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0.0,-376.7100000000001,2
1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0.0,-376.02999999999986,1
0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0,-374.30999999999995,1
1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0.0,-374.30999999999983,10
0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0.0,-372.9,1
1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0.0,-372.8999999999999,31
0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-372.56999999999994,2
1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-372.5699999999999,11
0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0.0,-371.94999999999993,2
1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0.0,-371.94999999999993,10
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0.0,-369.6799999999998,3
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-369.68,4
1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0.0,-369.03,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0.0,-366.46999999999986,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.0,-366.46999999999997,5
