0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,chain_break_fraction,energy,num_occurrences
1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0.0,-5231.810000000002,1
1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0.0,-5226.980000000002,2
0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0.0,-5226.979999999998,9
0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0.0,-5217.669999999998,7
1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0.0,-5217.670000000001,4
0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0.0,-5207.22,9
1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0.0,-5207.219999999999,3
1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0.0,-5194.940000000002,3
0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0.0,-5194.119999999999,1
0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0.0,-5190.8899999999985,12
