0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-607.95,391
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-607.95,235
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-600.41,193
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0.0,-600.4100000000001,103
1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.0,-598.98,147
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.0,-598.98,239
1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0.0,-591.44,70
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0.0,-591.44,94
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0.0,-588.33,28
1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0.0,-588.3299999999999,51
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0,-580.7900000000001,6
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0.0,-580.79,36
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0.0,-579.36,19
1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0.0,-579.3600000000001,17
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0.0,-571.82,7
1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0.0,-571.82,19
1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.0,-570.52,11
0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.0,-570.52,13
0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-563.76,2
1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-563.76,3
0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0.0,-563.48,14
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.0,-563.48,25
1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0.0,-562.98,9
0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0.0,-562.98,4
1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-561.55,8
0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-561.55,3
1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-556.2199999999999,5
0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0.0,-556.22,2
0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0.0,-555.94,4
1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0.0,-555.94,12
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0.0,-555.77,9
1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0.0,-555.77,13
1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.0,-554.79,2
0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.0,-554.79,4
0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-554.51,8
1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-554.51,6
1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-554.01,4
1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-552.9100000000001,3
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.0,-552.38,11
0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0.0,-552.3799999999999,6
1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0.0,-550.9000000000001,3
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-549.68,1
1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-549.6800000000001,2
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0.0,-548.23,2
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0.0,-548.23,8
0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0.0,-547.25,3
1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0.0,-547.25,2
0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0.0,-546.97,4
1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0.0,-546.97,2
1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0.0,-546.8000000000001,3
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0.0,-546.8,5
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0.0,-546.7099999999999,3
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0.0,-546.71,6
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0.0,-545.37,1
1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-545.37,1
0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0.0,-544.8399999999999,1
1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0.0,-544.84,1
1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0.0,-544.1399999999999,1
1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0.0,-543.94,1
0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0.0,-543.94,1
0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0.0,-543.8600000000001,7
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0.0,-543.86,2
